Pressure,slant,Baseline,Size,Spacing,Gaps,Strings,Label,,Confindence,Arguing,Openess,Socialing,Exploring
Light,straight,,large,Average,Small,Garland,Intro,,0,0,1,,1
Average,Right,Downward,Medium,Small,Large,Garland,Extro,,,,,,
Average,straight,Downward,Small,Small,Large,Thread,Intro,,0,0,1,1,0
Hard,straight,Downward,Medium,Small,Small,Garland,Extro,,1,1,1,1,0
Light,Left,Wavy,large,Small,Small,Thread,Extro,,1,1,1,0,1
Average,Left,Downward,large,Small,Large,Thread,Intro,,1,0,1,0,1
Hard,straight,Downward,Average,Small,Small,Garland,Extro,,0,1,1,1,0
Average,straight,Wavy,Average,Small,Large,Arcades,Extro,,1,1,1,1,1
Light,straight,Downward,Small,Small,Large,Garland,Intro,,1,1,1,1,0
Hard,straight,Downward,Small,Small,Large,Arcades,Intro,,0,0,0,1,1
Average,Right,Downward,Average,Small,Large,Thread,Intro,,0,1,0,0,1
Hard,straight,Downward,Small,Small,Large,Garland,Intro,,0,0,1,1,0
Hard,Left,wavy,Average,Small,Small,Thread,Extro,,1,1,1,1,0
Average,straight,Wavy,Average,Small,Small,Thread,Intro,,0,0,0,0,0
Light,straight,Wavy,Small,Small,Large,Arcades,Intro,,1,1,1,0,0
Hard,Left,Wavy,Small,Small,Small,Garland,Extro,,1,0,1,0,1
Hard,straight,Downward,Small,Small,Large,Thread,Intro,,0,0,1,0,1
Light,Right,Downward,Small,Average,Small,Arcades,Extro,,1,1,1,1,1
Hard,Left,Downward,Medium,Average,Small,Garland,Intro,,0,0,1,0,1
